Recording timestamp,Computer timestamp,Sensor,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Recording media name,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Ungrouped,Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,recording_time,participant no,way,alert
119001,119001,Gyroscope,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,12.4864,-2.2464,-3.8796,,,,,,,0 days 00:01:59,c1,approach,voice
119001,119001,Accelerometer,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,,,,0.2376,11.1206,-1.7072,,,,0 days 00:01:59,c1,approach,voice
119010,119010,Gyroscope,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,10.9985,-2.4083,-3.5623,,,,,,,0 days 00:01:59,c1,approach,voice
119010,119010,Accelerometer,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,,,,0.1568,10.8274,-1.728,,,,0 days 00:01:59,c1,approach,voice
119011,119011,Eye Tracker,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,914,538,98.04,47.31,1794.54,0.0364,0.03,0.99889,0.0705,0.0255,0.99719,31.81,-3.66,-23.47,-30.51,-2.84,-22.69,2.378,2.433,Valid,Valid,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,,,,,,,,,,0 days 00:01:59,c1,approach,voice
119018,119018,Gyroscope,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,9.5331,-2.5309,-3.0241,,,,,,,0 days 00:01:59,c1,approach,voice
119018,119018,Accelerometer,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,,,,0.1598,10.4786,-1.7249,,,,0 days 00:01:59,c1,approach,voice
119026,119026,Gyroscope,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,8.6209,-2.7172,-2.7858,,,,,,,0 days 00:01:59,c1,approach,voice
119026,119026,Accelerometer,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,,,,0.2275,10.1078,-1.5953,,,,0 days 00:01:59,c1,approach,voice
119031,119031,Eye Tracker,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,910,556,83.26,8.4,1409.67,0.0361,0.0295,0.99891,0.0789,-0.0131,0.9968,31.81,-3.67,-23.46,-30.47,-3.03,-22.69,2.385,2.69,Valid,Valid,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,,,,,,,,,,0 days 00:01:59,c1,approach,voice
119032,119032,Magnetometer,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,,,,,,,3.9307,-156.9541,79.7308,0 days 00:01:59,c1,approach,voice
119035,119035,Gyroscope,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,8.3068,-2.7514,-2.9467,,,,,,,0 days 00:01:59,c1,approach,voice
119035,119035,Accelerometer,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,,,,0.2161,9.8921,-1.5017,,,,0 days 00:01:59,c1,approach,voice
119043,119043,Gyroscope,47:32.2,47:32.2,740976,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,180,343,913,551,,8.5162,-2.6372,-2.841,,,,,,,0 days 00:01:59,c1,approach,voice
