Recording timestamp,Computer timestamp,Sensor,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Recording media name,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Ungrouped,Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,recording_time,participant no,way,alert
38102,38102,Gyroscope,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,11.0284,-2.616,7.0763,,,,,,,0 days 00:00:38,p4,overtake,voice
38102,38102,Accelerometer,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,,,,2.7013,10.816,-2.0347,,,,0 days 00:00:38,p4,overtake,voice
38110,38110,Gyroscope,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,12.5238,-3.3086,3.3863,,,,,,,0 days 00:00:38,p4,overtake,voice
38110,38110,Accelerometer,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,,,,2.49,10.6507,-2.0093,,,,0 days 00:00:38,p4,overtake,voice
38111,38111,Eye Tracker,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,1093,499,-326.13,160,2307.03,-0.1497,0.0649,0.9866,-0.12381,0.0779,0.98924,26.62,-9.06,-19.82,-34.26,-7.47,-21.81,2.146,2.049,Valid,Valid,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,,,,,,,,,,0 days 00:00:38,p4,overtake,voice
38118,38118,Gyroscope,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,13.3837,-4.0732,-0.6783,,,,,,,0 days 00:00:38,p4,overtake,voice
38118,38118,Accelerometer,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,,,,2.235,10.4348,-1.9799,,,,0 days 00:00:38,p4,overtake,voice
38127,38127,Gyroscope,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,13.6005,-4.7461,-4.5636,,,,,,,0 days 00:00:38,p4,overtake,voice
38127,38127,Accelerometer,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,,,,1.9483,10.2225,-1.925,,,,0 days 00:00:38,p4,overtake,voice
38132,38132,Eye Tracker,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,1088,499,-255.32,128.57,1871.13,-0.1473,0.0644,0.98699,-0.1155,0.0785,0.9902,26.6,-8.97,-19.82,-34.22,-7.47,-21.79,2.138,1.999,Valid,Valid,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,,,,,,,,,,0 days 00:00:38,p4,overtake,voice
38135,38135,Gyroscope,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,13.279,-5.4559,-7.9748,,,,,,,0 days 00:00:38,p4,overtake,voice
38135,38135,Accelerometer,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,,,,1.6867,9.8319,-1.883,,,,0 days 00:00:38,p4,overtake,voice
38144,38144,Gyroscope,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,12.9874,-6.2332,-11.0201,,,,,,,0 days 00:00:38,p4,overtake,voice
38144,38144,Accelerometer,32:33.9,32:33.9,792792,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,scenevideo.mp4,1920,1080,Fixation,1122,103,1073,515,,,,,1.4449,9.2834,-1.8233,,,,0 days 00:00:38,p4,overtake,voice
